time,seconds_elapsed,steps
1762766036893772500,6751.5177724609375,2444
1762766039466745300,6754.090745361328,2449
1762766042039717000,6756.663717041016,2454
1762766044612690200,6759.236690185547,2458
1762766047185664000,6761.8096640625,2463
1762766049758637300,6764.382637207032,2467
1762766052331610600,6766.955610595704,2472
1762766054904580000,6769.528580078125,2477
1762766057477549300,6772.101549316406,2481
1762766060050519300,6774.674519287109,2486
1762766062623489800,6777.247489746093,2491
1762766065196461300,6779.820461425781,2495
1762766067769433000,6782.393433105469,2500
1762766070342402600,6784.966402587891,2504
1762766072915368400,6787.539368408203,2505
1762766075488330200,6790.112330322266,2509
1762766078061288700,6792.685288818359,2514
1762766080634241000,6795.258240966797,2519
1762766083207189500,6797.831189453125,2523
1762766085780136400,6800.404136474609,2528
1762766088353079800,6802.977079833984,2532
1762766090926026000,6805.550025878906,2537
1762766093498974200,6808.122974121094,2542
1762766096071926500,6810.695926513672,2546
1762766098644888800,6813.268888916015,2551
1762766101218489000,6815.842489013672,2555
1762766103792093700,6818.41609375,2558
1762766106367594200,6820.991594238281,2562
1762766108940598000,6823.56459790039,2566
1762766111513619200,6826.137619140625,2570
1762766114086645800,6828.710645751953,2575
1762766116659677400,6831.283677490234,2580
1762766119232708900,6833.856708984375,2584
1762766121805740800,6836.429740722656,2589
1762766124378772200,6839.002772216797,2594
1762766126951803400,6841.575803466797,2595
1762766129524832300,6844.14883227539,2595
1762766132097858600,6846.721858642578,2595
1762766134670880800,6849.294880859375,2595
1762766137243900000,6851.867899902344,2595
1762766139816915000,6854.440915039063,2595
1762766183557289200,6898.181289306641,2595
1762766186130230500,6900.75423046875,2606
1762766188703176000,6903.327176025391,2610
1762766191276126200,6905.900126220703,2615
1762766193849079000,6908.473079101563,2619
1762766196422035500,6911.046035400391,2624
1762766198994995200,6913.618995117187,2628
1762766201567957800,6916.191957763672,2633
1762766204140922600,6918.764922607422,2638
1762766206713885000,6921.337885009766,2642
1762766209286845700,6923.910845703125,2647
1762766211859806500,6926.483806396484,2652
1762766214432765400,6929.056765380859,2656
1762766217005732600,6931.629732666016,2661
1762766219578711800,6934.202711914062,2665
1762766222152326700,6936.776326660156,2668
1762766224725319400,6939.349319335937,2669
1762766227298315500,6941.922315429688,2669
1762766229871317500,6944.495317382813,2669
1762766232444320800,6947.068320800781,2680
1762766235018578400,6949.64257836914,2686
1762766237591576000,6952.215576171875,2691
1762766240164571600,6954.788571533203,2695
1762766242737556500,6957.361556396484,2700
1762766245310530600,6959.934530517578,2705
1762766247883494000,6962.507493896484,2709
1762766250456446700,6965.080446777344,2714
1762766253029388500,6967.653388427734,2719
1762766255602319400,6970.226319335938,2723
1762766258175239700,6972.799239746094,2728
1762766260748151800,6975.3721518554685,2732
1762766263321054500,6977.945054443359,2737
1762766265893949400,6980.517949462891,2741
1762766268466830800,6983.090830810547,2747
1762766271039704300,6985.663704345703,2752
1762766273612567600,6988.236567626953,2757
1762766276185422300,6990.809422363282,2761
1762766278758274000,6993.382274169922,2766
1762766281331125500,6995.955125488281,2771
1762766283903972400,6998.527972412109,2775
1762766286476817200,7001.100817138672,2780
1762766289049658400,7003.673658447266,2785
1762766291622494700,7006.2464946289065,2789
1762766294195326700,7008.819326660157,2794
1762766296768153000,7011.392153076172,2799
1762766299340973600,7013.964973632813,2803
1762766301913787400,7016.537787353515,2808
1762766304486595600,7019.110595703125,2813
1762766307059401500,7021.683401367188,2818
1762766309632201700,7024.256201660156,2823
1762766312204996000,7026.82899609375,2827
1762766314779045000,7029.4030451660155,2831
1762766317351838500,7031.975838378907,2832
1762766319924641000,7034.5486411132815,2836
1762766322497455600,7037.121455566406,2841
1762766325074051800,7039.698051757812,2846
1762766327646887000,7042.2708869628905,2851
1762766330219730000,7044.843729980469,2855
1762766332792575200,7047.416575195312,2860
1762766335365418500,7049.989418457031,2864
1762766337938257400,7052.562257324219,2869
1762766340512348200,7055.136348144531,2874
1762766343085179000,7057.709178955078,2874
1762766345658020000,7060.282020019531,2879
1762766348230871600,7062.854871582032,2884
1762766350803735800,7065.427735839844,2888
1762766353380378600,7068.004378662109,2893
1762766355953262000,7070.577261962891,2898
1762766358526148900,7073.150148925782,2902
1762766361099035100,7075.72303515625,2906
1762766363671917600,7078.295917480469,2910
1762766366244793900,7080.868793945312,2914
1762766368817661200,7083.441661132812,2918
1762766371390518300,7086.014518310547,2923
1762766373963364600,7088.587364501953,2927
1762766376536200700,7091.160200683594,2932
1762766379109030700,7093.7330307617185,2936
1762766381681851400,7096.30585131836,2941
1762766384254660900,7098.878660888672,2945
1762766386827461600,7101.451461669922,2950
1762766389400251400,7104.0242514648435,2954
1762766391973031700,7106.597031738282,2959
1762766394545802200,7109.169802246094,2964
1762766397118564600,7111.742564697266,2969
1762766399691321600,7114.315321533203,2972
1762766402265961500,7116.889961425782,2977
1762766404838716000,7119.462715820313,2977
1762766407411478300,7122.035478271484,2981
1762766409988020000,7124.612020019531,2986
1762766412560804900,7127.18480493164,2991
1762766415133592800,7129.757592773438,2996
1762766417706381300,7132.330381347656,3000
1762766420279164700,7134.903164550781,3005
