time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1762767392839371000,8107.46337109375,74.10479775697836,-1.0,-1.0,41.90367357359672,26.514797604390463,-1.0,4.0087343660143935,3.0,12.479272609855215,-1.0
1762768094533807900,8809.157807861327,74.10479775697836,-1.0,-1.0,41.90367377958671,26.514797604390463,-1.0,2.4584027410734106,3.0,12.479271956628796,-1.0
1762768829771253000,9544.395252929688,74.10479775697836,-1.0,-1.0,41.90367382559679,26.514797604390463,-1.0,2.030963747125839,3.0,12.479271808312538,-1.0
1762769549972448800,10264.596448730468,74.10479775697836,-1.0,-1.0,41.903673847230685,26.514797604390463,-1.0,2.0,3.0,12.479271739608926,-1.0
1762770270178894000,10984.802894042969,74.10479775697836,-1.0,-1.0,41.90367386052269,26.514797604390463,-1.0,2.0,3.2047367899796466,12.479271697235788,-1.0
1762770585500442000,11300.124442138673,74.10479775697836,-1.0,-1.0,41.90367388034362,26.514797604390463,-1.0,9.371520409352785,3.2834305287035668,12.479271653798843,-1.0
1762770771492449300,11486.11644921875,63.7620048886165,3.694757212158118,-1.0,41.903673883872656,16.17200473602861,-1.0,3.6731197670139664,50.36438145187871,12.47927162475584,0.0
1762770825491841300,11540.115841308594,63.762001037597656,-1.0,-1.0,41.90367390998737,16.172000885009766,-1.0,3.053349051747384,209.96620178222656,12.47927158440932,-1.0
1762770886491833900,11601.115833740234,63.76200107485056,5.498730241866919,-1.0,41.90367392928783,16.17200092226267,-1.0,2.403873068194626,300.0,12.479271552176328,0.0
1762770955491119400,11670.115119384764,63.76200866699219,-1.0,-1.0,41.90367395476376,16.172008514404297,-1.0,2.306743942273866,69.12871551513672,12.47927155496165,-1.0
1762771017491136500,11732.11513647461,63.762008702382445,3.4257375873612292,-1.0,41.90367401517869,16.172008549794555,-1.0,2.1696782958226155,3.0,12.479271565597609,0.0
1762771067490601000,11782.11460107422,63.76200866699219,-1.0,-1.0,41.903674143073815,16.172008514404297,-1.0,2.0,3.0,12.47927158013563,-1.0
1762771117490038300,11832.11403833008,63.762008702382445,1.5736524633181974,-1.0,41.90367420796908,16.172008549794555,-1.0,2.0,3.0,12.479271588417596,0.0
1762771165490251500,11880.114251464844,64.40385646186769,0.7185619110417696,-1.0,41.90366740242464,16.8138563092798,-1.0,7.088577368831564,3.0,12.479273453577967,0.1116782093194348
1762771177983111000,11892.607110839845,64.44657953642309,1.1944678715584014,-1.0,41.903669658324375,16.856579383835196,-1.0,6.604229447315206,5.480119281156524,12.479265409612058,0.0346794346280367
1762771191982954000,11906.606954101562,64.06072554085404,0.7185619110417696,-1.0,41.90366533472729,16.470725388266146,-1.0,5.985705776126655,6.113423827920775,12.479261995645867,0.0
1762771206982784500,11921.606784423828,63.930802796036005,0.7185619110417696,-1.0,41.903666627157655,16.340802643448114,-1.0,8.27890353834586,5.206570265833135,12.479262912394772,0.0
1762771210982739700,11925.606739746094,63.930802796036005,0.7185619110417696,-1.0,41.90366768818839,16.340802643448114,-1.0,7.649455861243019,4.9926852566107325,12.47926418743987,0.0
1762771225982571000,11940.606571044922,63.930802796036005,1.1194365557741344,180.0,41.90366804546589,16.340802643448114,2.2655682308111644,7.742169954812516,8.530657510800417,12.479264620461043,0.0
1762771236982447400,11951.606447265624,63.930802796036005,1.2837012200715754,180.0,41.90366835875805,16.340802643448114,2.2655682308111644,7.98021908628649,8.002952523567908,12.479265000339504,0.0
1762771246982334700,11961.606334716796,63.930802796036005,1.1965117877076747,180.0,41.90366783362191,16.340802643448114,2.2655682308111644,8.587864504635625,8.070078227684286,12.479264373599062,0.0
1762771256982221600,11971.606221679687,63.930802796036005,1.314289129949987,180.0,41.90366722544927,16.340802643448114,2.2655682308111644,9.176976400980877,7.894050085802059,12.479263647756072,0.0
1762771266987497200,11981.611497314454,63.930802796036005,1.1225251117221833,180.0,41.9036678566051,16.340802643448114,2.2655682308111644,8.696559890530036,7.652348847939047,12.479264407711144,0.0
1762771276993731600,11991.617731689454,63.930802796036005,1.325734654815814,180.0,41.903667303881285,16.340802643448114,2.2655682308111644,9.209369140374076,7.766313517822927,12.479263747873174,0.0
